Location,Depth,Width
0,-9.61,3687
6.63,-11.2,3581.83
13.06,-11.2,3581.83
19.66,-11.6,3282.3
24.03,-14.6,3338.13
27.8,-9.8,2167.26
34.43,-21,1085.32
40.86,-15.5,1323.76
46.47,-20,1015.99
50.17,-31.5,723.53
56.64,-24.1,1513.5
57.99,-17.37,1118
59.96,-18.35,880.5
61.96,-19.08,797.8
63.95,-17.82,831
66.11,-16.91,767.3
68.14,-16.95,779.9
70.18,-19.02,682
71.95,-19.29,756
73.79,-19.16,693
75.5,-19.23,685.1
77.5,-17.54,685.1
79.5,-18.23,677.7
81.53,-19.18,650
83.55,-19.32,687.1
85.54,-20.25,650.9
87.54,-21.47,650.4
89.57,-19.68,660.9
91.59,-19.51,645.1
93.61,-18.26,658
95.59,-17.79,638
97.6,-17.35,631.5
99.62,-18.3,621.7
101.63,-16.62,622.2
103.63,-16.62,625.2
105.62,-18.49,626
107.65,-18.06,623.7
109.65,-17.29,624.3
111.65,-18.35,632.6
113.62,-18.72,624.2
115.63,-17.49,626.6
117.64,-18.32,629.6
119.63,-20.68,618.2
121.65,-19.9,610.8
123.67,-20.36,592.1
125.7,-19.3,570.7
127.76,-17.76,578.1
129.73,-17.77,593.9
131.73,-18.48,552
133.73,-18.67,567
135.73,-18.42,544.1
137.77,-17.1,528.6
139.72,-16.29,538.1
141.73,-17.55,582.6
143.76,-15.23,533
145.84,-12.2,571
147.86,-11.15,537.5
149.89,-10.66,536
151.9,-9.15,551.5
153.89,-8.16,546.5
155.93,-7.6,560.5
157.95,-7.35,544.5
159.96,-8.9,525.1
161.98,-8.44,534
164.05,-7.27,507.4
166.06,-7.15,557.1
168.11,-7.17,533.1
170.14,-7.01,585
172.18,-7.57,496.5
174.23,-7.19,500.8
176.27,-6.72,504
178.28,-6.15,491.1
180.25,-5.17,487.6
182.26,-4.87,485.6
184.25,-6.26,477.3
186.27,-5.06,489.6
188.25,-4.41,491.1
190.25,-3.91,474.9
192.26,-3.03,473
194.32,-2.27,466
196.3,-1.66,464
198.32,-2.49,477
200,-2.01,459.5