Date,Site,Location,Tide,Month,T,TSS (mg/L),Salinity,DO (mg/L),NH4 (mgN/L),PO4 (mgP/L),TOC (mgC/L)
10/9/2017,Bến Súc,158,Low tide,10,29.4,11,0.03,5.11,0.225,,3.806
10/9/2017,Bến Súc,158,High tide,10,30,18,0.03,5.11,0.225,,3.89
5/15/2018,Bến Súc ,158,High tide,5,28.6,26,0.03,4.96,0.13,,4.023
10/23/2017,Bến Súc,158,High tide,10,29.7,14,0.03,4.89,0.195,0.102,4.212
12/11/2018,Bến Súc ,158,Low tide,12,28.5,54,,5.97,0.19,0.1,3.792
10/23/2017,Bến Súc,158,Low tide,10,28.8,16,0.03,4.89,0.18,0.094,4.086
7/11/2017,Bến Súc,158,Low tide,7,28.1,29,0.03,3.31,0.2,0.089,3.806
5/15/2018,Bến Súc ,158,Low tide,5,28.9,19,0.03,4.69,0.05,0.08,3.61
1/15/2018,Bến Súc ,158,High tide,1,28.9,24,0.05,5.15,0.18,0.08,3.4
12/11/2018,Bến Súc ,158,High tide,12,28.8,28,,5.43,0.25,0.08,4.59
4/15/2018,Bến Súc ,158,High tide,4,29.4,17,0.03,5.4,0.03,0.08,4.037
11/11/2017,Bến Súc,158,Low tide,11,29.4,49,0.03,4.5,0.082,0.08,3.834
1/15/2018,Bến Súc ,158,Low tide,1,29.3,16,0.05,4.48,0.12,0.08,3.96
1/15/2017,Bến Súc,158,High tide,1,28.2,32,0.03,4.02,0.053,0.078,5.92
7/25/2017,Bến Súc,158,Low tide,7,29.2,17,0.03,4.79,0.123,0.073,4.17
11/11/2017,Bến Súc,158,High tide,11,30,58,0.03,4.21,0.095,0.07,4.17
4/12/2017,Bến Súc,158,Low tide,4,29.2,31,0.03,4.94,0.129,0.068,3.68
3/15/2017,Bến Súc,158,High tide,3,28,71,0.03,5.14,0.076,0.064,3.4
12/6/2017,Bến Súc,158,Low tide,12,28.7,8,0.03,5.17,0.121,0.062,4.128
8/10/2017,Bến Súc,158,Low tide,8,29.1,23,0.03,4.88,0.102,0.062,3.96
4/12/2017,Bến Súc,158,High tide,4,29.3,31,0.03,4.94,0.165,0.061,3.372
12/6/2017,Bến Súc,158,High tide,12,28.1,15,0.03,5.52,0.111,0.06,3.666
7/25/2017,Bến Súc,158,High tide,7,28.4,22,0.04,6.07,0.1,0.058,4.24
3/27/2017,Bến Súc,158,High tide,3,28.4,33,0.03,5.98,0.111,0.056,3.47
4/28/2017,Bến Súc,158,Low tide,4,28.6,48,0.03,6.94,0.034,0.055,3.246
5/29/2017,Bến Súc,158,High tide,5,28.8,62,0.03,5.37,0.311,0.055,3.512
1/2/2017,Bến Súc,158,High tide,1,29.1,67,0.03,4.54,0.112,0.055,3.19
2/26/2017,Bến Súc,158,High tide,2,29.4,76,0.03,3.77,0.045,0.055,3.596
6/26/2017,Bến Súc,158,High tide,6,28.1,34,0.03,5.34,0.026,0.053,3.512
6/12/2017,Bến Súc,158,Low tide,6,28.5,49,0.03,5.24,0.238,0.053,4.156
9/7/2017,Bến Súc,158,Low tide,9,29,18,0.03,4.89,0,0.053,3.638
3/15/2017,Bến Súc,158,Low tide,3,28.2,86,0.03,4.88,0.018,0.053,3.498
11/21/2017,Bến Súc,158,Low tide,11,29.5,17,0.03,3.89,0.062,0.053,4.366
3/16/2018,Bến Súc ,158,High tide,3,29.2,10,0.03,4.86,0.05,0.05,4.275
3/16/2018,Bến Súc ,158,Low tide,3,28.9,10,0.03,5.29,0.04,0.05,4.527
9/22/2017,Bến Súc,158,High tide,9,29.3,82,0.02,4.34,0.199,0.052,3.918
2/26/2017,Bến Súc,158,Low tide,2,28.6,70,0.03,5.14,0.147,0.05,3.372
1/2/2017,Bến Súc,158,Low tide,1,28.4,46,0.03,4.6,0.076,0.05,4.59
4/15/2018,Bến Súc ,158,Low tide,4,29.4,16,0.03,6,0.02,0.05,4.156
9/12/2018,Bến Súc ,158,Low tide,9,28.5,24,0.04,4.64,0.16,0.05,3.946
8/10/2017,Bến Súc,158,High tide,8,29.5,37,0.03,6.07,0.091,0.047,3.498
9/7/2017,Bến Súc,158,High tide,9,28.8,25,0.03,5.32,0.041,0.046,3.848
5/29/2017,Bến Súc,158,Low tide,5,29.5,53,0.03,4.72,0.167,0.046,3.47
5/15/2017,Bến Súc,158,Low tide,5,28.4,52,0.03,3.44,0.103,0.046,4.128
2/12/2017,Bến Súc,158,High tide,2,29.5,34,0.03,,0.093,0.045,3.498
3/27/2017,Bến Súc,158,Low tide,3,29.1,82,0.03,6.59,0.001,0.044,3.47
6/12/2017,Bến Súc,158,High tide,6,30,52,0.03,5.3,0.009,0.044,3.652
11/21/2017,Bến Súc,158,High tide,11,29.2,24,0.03,3.99,0.064,0.042,3.736
9/12/2018,Bến Súc ,158,High tide,9,29,29,0.03,3.75,0.15,0.04,3.47
7/11/2017,Bến Súc,158,High tide,7,30,12,0.03,5.46,0.046,0.038,3.554
4/28/2017,Bến Súc,158,High tide,4,28.6,60,0.03,3.87,0.045,0.038,3.806
2/12/2017,Bến Súc,158,Low tide,2,29.6,29,0.03,,0.025,0.034,3.456
6/26/2017,Bến Súc,158,Low tide,6,29.1,33,0.03,5.65,0.071,0.033,3.932
5/15/2017,Bến Súc,158,High tide,5,29.7,34,0.03,3.83,0.064,0.033,3.498
12/20/2017,Bến Súc,158,Low tide,12,29.5,29,0.08,3.2,0.173,0.031,5.178
10/12/2018,Bến Súc ,158,High tide,10,29.7,32,0.03,5.83,0.08,0.03,4.261
10/12/2018,Bến Súc ,158,Low tide,10,28.9,43,0.04,5.6,0.12,0.03,3.666
2/14/2018,Bến Súc ,158,Low tide,2,28.7,16,0.03,3.85,0.1,0.03,3.715
9/22/2017,Bến Súc,158,Low tide,9,28.7,46,0.03,4.72,0.276,0.03,4.17
2/14/2018,Bến Súc ,158,High tide,2,29.3,13,0.03,5.17,0.09,0.03,3.918
11/11/2018,Bến Súc ,158,Low tide,11,29.5,38,,4.06,0.26,0.03,6.494
11/11/2018,Bến Súc ,158,High tide,11,29.2,71,,4.16,0.06,0.03,4.373
1/15/2017,Bến Súc,158,Low tide,1,28.1,27,0.03,4.12,0.034,0.021,3.68
8/24/2017,Bến Súc,158,Low tide,8,28,20,0.03,3.99,0.075,0.017,4.002
8/24/2017,Bến Súc,158,High tide,8,29.3,26,0.03,5.11,0.073,0.015,4.002
12/20/2017,Bến Súc,158,High tide,12,28.6,34,0.02,4.59,0.158,0.003,3.89
3/27/2017,Phú Cường,116,Low tide,3,28.7,76,0.11,,0.201,,4.926
10/9/2017,Phú Cường,116,High tide,10,29.9,32,0.05,,0.689,,3.932
10/9/2017,Phú Cường,116,Low tide,10,28.4,46,0.05,,0.644,,3.904
5/15/2018,Phú Cường,116,High tide,5,29.6,55,0.07,,0.77,0.1,8.692
8/24/2017,Phú Cường,116,Low tide,8,29.9,26,0.04,,0.463,0.094,3.96
10/12/2018,Phú Cường,116,High tide,10,28.3,64,0.11,,0.39,0.09,9.098
5/29/2017,Phú Cường,116,Low tide,5,29.5,41,0.05,,0.621,0.089,3.582
5/29/2017,Phú Cường,116,High tide,5,29.4,75,0.05,,0.689,0.087,3.624
5/15/2018,Phú Cường,116,Low tide,5,29.8,53,0.07,,0.74,0.09,6.578
10/12/2018,Phú Cường,116,Low tide,10,29.9,56,0.1,,0.05,0.08,3.974
8/24/2017,Phú Cường,116,High tide,8,28.3,33,0.04,,0.475,0.082,3.792
11/11/2017,Phú Cường,116,High tide,11,28.5,33,0.05,,0.634,0.078,3.876
11/11/2017,Phú Cường,116,Low tide,11,29.9,35,0.05,,0.656,0.076,4.128
6/26/2017,Phú Cường,116,Low tide,6,29.7,85,0.04,,0.353,0.075,5.836
12/11/2018,Phú Cường,116,High tide,12,29.8,104,,,0.46,0.07,4.31
12/11/2018,Phú Cường,116,Low tide,12,28,64,,,0.32,0.07,4.702
7/25/2017,Phú Cường,116,High tide,7,29.7,79,0.05,,0.43,0.067,4.38
7/25/2017,Phú Cường,116,Low tide,7,30,53,0.05,,1.646,0.064,5.136
12/6/2017,Phú Cường,116,Low tide,12,29.2,27,0.06,,1.079,0.064,4.044
6/26/2017,Phú Cường,116,High tide,6,28.2,93,0.04,,0.371,0.064,6.41
1/15/2018,Phú Cường,116,High tide,1,29.2,28,0.08,,1.67,0.06,5.71
12/6/2017,Phú Cường,116,High tide,12,29.3,39,0.06,,1.097,0.06,4.17
3/16/2018,Phú Cường,116,High tide,3,28.3,11,0.06,,0.25,0.06,4.52
1/15/2018,Phú Cường,116,Low tide,1,29.4,32,0.07,,1.59,0.06,6.004
11/11/2018,Phú Cường,116,Low tide,11,29.1,52,,,0.17,0.05,4.044
4/28/2017,Phú Cường,116,Low tide,4,29.2,43,0.08,,0.259,0.044,5.402
4/28/2017,Phú Cường,116,High tide,4,28.6,86,0.08,,0.248,0.044,6.522
4/15/2018,Phú Cường,116,High tide,4,28.6,46,0.1,,0,0.04,3.848
3/16/2018,Phú Cường,116,Low tide,3,28.9,19,0.06,,0.24,0.04,4.31
4/15/2018,Phú Cường,116,Low tide,4,28.9,45,0.09,,0,0.04,3.68
3/27/2017,Phú Cường,116,High tide,3,28.2,69,0.11,,0.157,0.03,3.904
11/11/2018,Phú Cường,116,High tide,11,29.2,122,,,0.11,0.03,4.73
9/22/2017,Phú Cường,116,High tide,9,28.7,47,0.04,,0.402,0.03,4.086
2/14/2018,Phú Cường,116,High tide,2,28.7,41,0.06,,0.54,0.03,4.45
9/22/2017,Phú Cường,116,Low tide,9,29.2,46,0.04,,0.411,0.026,3.624
2/14/2018,Phú Cường,116,Low tide,2,28.5,48,0.06,,0.53,0.03,4.24
9/12/2018,Phú Cường,116,High tide,9,28.9,88,0.05,,0.63,0.02,3.876
9/12/2018,Phú Cường,116,Low tide,9,28.5,60,0.06,,0.76,0.02,6.522
2/12/2017,Phú Cường,116,Low tide,2,29,114,0.07,,0.227,0.02,3.274
2/12/2017,Phú Cường,116,High tide,2,29.1,101,0.07,,0.242,0.015,3.106
1/15/2017,Phú Cường,116,High tide,1,29.6,34,0.06,,0.108,0.01,3.4
1/15/2017,Phú Cường,116,Low tide,1,29.7,45,0.06,,0.067,0.01,4.072
12/11/2018,Bình Lợi,90,High tide,12,30,52,,,2.63,0.15,
9/12/2018,Bình Lợi,90,High tide,9,29.6,62,0.15,,0,0.03,
4/15/2018,Bình Lợi,90,Low tide,4,29.3,2,0.52,,1.96,0.14,
2/14/2018,Bình Lợi,90,High tide,2,29.6,56,0.55,,3.01,0.05,
4/28/2017,Bình Lợi,90,Low tide,4,29.7,79,0.44,,1.066,0.056,
10/12/2018,Bình Lợi,90,Low tide,10,29.1,42,0.14,,0.54,0.02,
12/11/2018,Bình Lợi,90,Low tide,12,29.6,103,,,1.95,0.09,
11/11/2018,Bình Lợi,90,Low tide,11,29,77,,,1.58,0.05,
10/9/2017,Bình Lợi,90,High tide,10,29.6,50,0.11,,1.778,0.128,
4/15/2018,Bình Lợi,90,High tide,4,29.1,68,0.66,,0,0.02,
3/16/2018,Bình Lợi,90,High tide,3,29.1,31,0.8,,0.29,0.02,
12/6/2017,Bình Lợi,90,High tide,12,29.8,47,0.11,,2.658,0.099,
3/27/2017,Bình Lợi,90,High tide,3,29.2,35,1.81,,0.206,0.061,
11/11/2018,Bình Lợi,90,High tide,11,29.7,57,,,1.27,0.04,
10/12/2018,Bình Lợi,90,High tide,10,29.2,106,0.13,,0.41,0.02,
6/26/2017,Bình Lợi,90,Low tide,6,29.2,79,0.05,,0.778,0.174,
3/16/2018,Bình Lợi,90,Low tide,3,30,71,0.59,,0.42,0.04,
2/14/2018,Bình Lợi,90,Low tide,2,29.8,68,0.71,,2.58,0.02,
8/24/2017,Bình Lợi,90,Low tide,8,29.4,55,0.09,,1.993,0.078,
9/12/2018,Bình Lợi,90,Low tide,9,29.1,82,0.09,,1.21,0.03,
5/15/2018,Bình Lợi,90,High tide,5,29.3,45,0.19,,1.3,0.11,
5/15/2018,Bình Lợi,90,Low tide,5,28.1,77,0.13,,1.29,0.08,
8/24/2017,Bình Lợi,90,High tide,8,29.2,44,0.08,,1.943,0.061,
1/15/2018,Bình Lợi,90,Low tide,1,28.7,18,0.53,,4.62,0.06,
7/25/2017,Bình Lợi,90,High tide,7,29,34,0.08,,1.788,0.065,
1/15/2018,Bình Lợi,90,High tide,1,29.8,36,0.62,,4.65,0.05,
5/29/2017,Bình Lợi,90,High tide,5,28.4,20,0.1,,2.266,0.175,
5/29/2017,Bình Lợi,90,Low tide,5,29.6,53,0.11,,2.213,0.238,
12/6/2017,Bình Lợi,90,Low tide,12,29.5,50,0.12,,2.893,0.093,
4/28/2017,Bình Lợi,90,High tide,4,28.8,80,0.55,,0.478,0.022,
10/9/2017,Bình Lợi,90,Low tide,10,28.5,45,0.09,,1.862,0.11,
3/27/2017,Bình Lợi,90,Low tide,3,29.3,22,1.54,,0.256,0.065,
6/26/2017,Bình Lợi,90,High tide,6,28.3,82,0.05,,0.943,0.073,
9/22/2017,Bình Lợi,90,High tide,9,28.3,48,0.07,,1.232,0.044,
9/22/2017,Bình Lợi,90,Low tide,9,28.5,53,0.07,,1.109,0.031,
11/11/2017,Bình Lợi,90,Low tide,11,28.9,49,0.08,,2.121,0.065,
7/25/2017,Bình Lợi,90,Low tide,7,28.7,48,0.08,,3.786,0.071,
11/11/2017,Bình Lợi,90,High tide,11,29.4,46,0.09,,2.045,0.063,
2/12/2017,Bình Lợi,90,Low tide,2,29.9,82,1.03,,0.323,0.008,
1/15/2017,Bình Lợi,90,Low tide,1,28.3,101,0.07,,0.456,0.003,
1/15/2017,Bình Lợi,90,High tide,1,29.7,107,0.06,,0.416,0.005,
2/12/2017,Bình Lợi,90,High tide,2,28.5,68,0.97,,0.296,0.018,
5/15/2018,Sài Gòn,72,High tide,5,29.3,35,0.22,,1.32,0.06,11.156
3/27/2017,Sài Gòn,72,High tide,3,28.8,63,1.93,,0.19,0.037,5.094
5/15/2018,Sài Gòn,72,Low tide,5,28.6,69,0.22,,1.66,0.07,17.498
12/11/2018,Sài Gòn,72,High tide,12,29.9,84,,,0.11,0.05,5.696
4/15/2018,Sài Gòn,72,High tide,4,28.8,49,0.65,,0,0.03,4.632
1/15/2018,Sài Gòn,72,Low tide,1,28.3,41,1.31,,1.97,0.34,12.556
3/16/2018,Sài Gòn,72,Low tide,3,28.5,115,1.5,,0.76,0.08,8.594
10/12/2018,Sài Gòn,72,High tide,10,29.5,157,0.27,,0.52,0.13,5.64
12/11/2018,Sài Gòn,72,Low tide,12,29.2,63,,,2.69,0.21,4.478
